DATE,GNP,GDP,CORESTICKM159SFRBATL,DPRIME,DFF,UNRATE,LREM64TTUSM156S,CNP16OV,PAYEMS,MDSP,DSPI,H8B1026NCBCMG,CSUSHPISA
01-01-1987,4872.70375,4855.21625,4.319637529,8.203373016,6.660356164,6.175,70.74526842,182752.75,102114.4167,5.762797,3472.016667,17.19166667,66.251
01-01-1988,5259.095,5236.438,4.586414374,9.318,7.571803279,5.491666667,71.64973476,184612.5833,105375.3333,5.7548325,3777.466667,12.575,71.13416667
01-01-1989,5666.36875,5641.5795,4.78070343,10.872,9.21490411,5.258333333,72.49765168,186392.6667,108046.8333,5.8859615,4057.85,13.975,75.502
01-01-1990,5997.836,5963.1445,5.455351341,10.008,8.096520548,5.616666667,72.18309317,189163.75,109527.8333,6.09006575,4319.116667,9.141666667,76.93616667
01-01-1991,6189.716,6158.12925,4.949347124,8.462,5.685013699,6.85,70.96115102,190924.8333,108433.8333,6.17497375,4496.008333,2.633333333,75.92166667
01-01-1992,6551.4045,6520.32725,3.785416475,6.250996016,3.521065574,7.491666667,70.80636179,192805.3333,108792.6667,5.88187575,4808.05,2.541666667,76.32716667
01-01-1993,6889.71625,6858.5585,3.50752614,6,3.021342466,6.908333333,71.2092656,194837.5833,110934.5833,5.696334,5009.175,4.816666667,77.41241667
01-01-1994,7310.2025,7287.2365,3.272151669,7.144,4.206328767,6.1,72.00669542,196814.5,114385.5833,5.553857,5254.025,6.941666667,79.46658333
01-01-1995,7667.701,7639.74925,3.318259542,8.831,5.83430137,5.591666667,72.53106275,198584.0833,117410.0833,5.6545855,5542.958333,7.941666667,80.9905
01-01-1996,8103.991,8073.12175,3.09751488,8.271084337,5.300464481,5.408333333,72.85988648,200590.5833,119819.3333,5.59514425,5841.425,6.2,82.80616667
01-01-1997,8600.8525,8577.5525,2.757137044,8.443227092,5.461506849,4.941666667,73.50704616,203133.25,122930.25,5.6077015,6160.65,7.991666667,85.31408333
01-01-1998,9080.22775,9062.81675,2.611365655,8.355577689,5.350931507,4.5,73.84508631,205220.0833,126136.75,5.48261825,6574.225,7.008333333,90.09291667
01-01-1999,9662.0755,9631.17175,2.180331925,7.997047244,4.972356164,4.216666667,73.94654908,207752.9167,129229.0833,5.53587375,6894.883333,8.333333333,96.36533333
01-01-2000,10289.43225,10250.952,2.689386083,9.235119048,6.237431694,3.966666667,74.09042387,212576.75,132018.3333,5.63823575,7419.575,11.60833333,104.7684167
01-01-2001,10632.29275,10581.929,3.234150692,6.938,3.878356164,4.741666667,73.11320142,215092.5,132078.25,5.78912,7773.758333,7.058333333,113.1795
01-01-2002,10974.90175,10929.10825,3.235956558,4.67687747,1.666794521,5.783333333,71.91501452,217569.5833,130634.5833,5.8067775,8108.766667,13.73333333,122.2785
01-01-2003,11514.946,11456.4495,2.33001235,4.121541502,1.126493151,5.991666667,71.21163271,221167.9167,130327,5.82796475,8494.983333,9.55,133.731
01-01-2004,12293.90925,12217.19575,2.2195946,4.343873518,1.350327869,5.541666667,71.2139371,223356.8333,131755.0833,5.89655475,8995.516667,13.45833333,150.4400833
01-01-2005,13113.99725,13039.197,2.314240308,6.189243028,3.217068493,5.083333333,71.52316375,226082.5833,134021.3333,6.3558355,9392.458333,13.79166667,171.73675
01-01-2006,13862.043,13815.583,2.927103742,7.961155378,4.965424658,4.608333333,71.98947212,228814.6667,136432.1667,6.75491775,10027.725,9.875,183.4474167
01-01-2007,14569.89125,14474.227,2.7630326,8.053784861,5.017315068,4.616666667,71.7723441,231867,137978.75,7.06674625,10528.875,6.308333333,179.9188333
01-01-2008,14915.076,14769.8615,2.835870575,5.070866142,1.924180328,5.8,70.8645372,233788,137224.9167,6.985938,10970.06667,-0.85,164.0571667
01-01-2009,14628.309,14478.06675,1.98720835,3.25,0.15860274,9.283333333,67.60467916,235801,131290,6.70551225,10928.03333,-6.066666667,148.5445833
01-01-2010,15254.603,15048.97,0.839635428,3.25,0.176246575,9.608333333,66.67215426,237829.3333,130334.5833,6.13639175,11356.88333,-5.183333333,144.6741667
01-01-2011,15837.66375,15599.73175,1.465280561,3.25,0.101506849,8.933333333,66.62924045,239617.5,131919.5,5.58611625,11885.6,-3.741666667,139.26
01-01-2012,16486.72675,16253.97,2.170778667,3.25,0.14057377,8.075,67.11954172,243284.3333,134154.3333,5.130189,12504.83333,-0.816666667,140.9946667
01-01-2013,17073.49325,16843.19575,1.944966442,3.25,0.107342466,7.358333333,67.34606685,245679.3333,136358.3333,4.918647,12517.26667,-0.725,154.5204167
01-01-2014,17785.914,17550.68775,1.97728875,3.25,0.088493151,6.158333333,68.14155808,247946.5833,138919.5,4.63433825,13191.99167,2.633333333,164.6993333
01-01-2015,18426.407,18206.0235,2.167317292,3.259920635,0.133726027,5.275,68.7010707,250800.5833,141801.1667,4.46955125,13745.275,6.583333333,172.1824167
01-01-2016,18927.04975,18695.10575,2.565157442,3.510956175,0.393196721,4.875,69.33675272,253537.5,144332.4167,4.40311625,14138.66667,5.941666667,180.92725
01-01-2017,19770.28625,19477.3365,2.259383083,4.097222222,1.002958904,4.358333333,70.10131169,255079,146610.9167,4.26398975,14791.225,3.775,191.402
01-01-2018,20823.3645,20533.0575,2.419135667,4.902390438,1.834931507,3.891666667,70.71672109,257790.6667,148897,4.16615375,15608.88333,3.225,202.48475
01-01-2019,21659.02625,21380.976,2.527796083,5.287549407,2.157260274,3.683333333,71.34893987,259175,150891.4167,4.10424425,16388.58333,3.458333333,209.4734167
01-01-2020,21257.4445,21060.47425,2.22488825,3.530632411,0.372240437,8.091666667,67.00868858,260329,142153.1667,3.86500175,17595.93333,0.425,222.15525
01-01-2021,23488.1715,23315.08125,2.438006,3.25,0.078684932,5.366666667,69.40252699,261445.1667,146280.9167,3.6917865,18633.11667,2.85,260.0666667
01-01-2022,25640.1285,25462.72225,5.453909417,4.848605578,1.692191781,3.641666667,71.26084138,263973.5,152625.25,3.931583,18580.56667,9.883333333,298.4789167
01-01-2023,.,.,.,.,4.898054475,.,.,.,.,.,.,,.
